Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / america,Price / america,Compare At Price / america,Status
and-forever,AND FOREVER,<p>This will last forever nai tho paisa wapis</p>,Strawb,Apparel & Accessories > Jewelry > Earrings,pendant,pendant,true,Color,gold,product.metafields.shopify.color-pattern,,,,,,,And Forever - gold,0.0,shopify,20,deny,manual,999.00,1299.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-20_at_5.20.58_PM-2.jpg?v=1727391692,1,"",false,,,194,,adult,,,,,,,,,,adults,,gold; silver,hoop,gold,imitation-jewelry,,,,female,,,,,,kg,,,true,,,true,,,active
and-forever,,,,,,,,,silver,,,,,,,,And Forever - silver,0.0,shopify,20,deny,manual,999.00,1299.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsAppImage2024-09-20at4.48.42PM_1.jpg?v=1727391586,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
azure-guardian,The Guardian,"<p>The Guardian, a stunning evil eye pendant necklace.  More than just evil eye jewellery, it's your everyday shield against negativity.  Turn protection into a fashion statement. The Guardian's vibrant hues make a bold statement, while its symbolic meaning offers peace of mind.  This locket necklace is the perfect everyday essential for the modern woman.</p>",vembley,Apparel & Accessories > Jewelry > Necklaces,pendant,pendant,false,Title,Default Title,,,,,,,,khdz004,0.0,shopify,19,continue,manual,999.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/1_0bcebe9f-3485-43c7-a1ad-f825eaa4911b.jpg?v=1717248837,1,"",false,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
azure-guardian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/2_126904f0-7cbe-455b-84e8-ff1d6c2fbfd9.jpg?v=1717248837,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamboo-bangle,Bamboo Bangle,"<p><strong>Founder’s note :</strong><br>Easily one of my favorite bangles. It’s adjustable, which makes it perfect for gifting—but honestly? I’d keep this one for myself. Looks super elegant, gets compliments every time I wear it, and feels way more unique than your usual gold bangle. And yes, you’ll need a little help adjusting it, but once it’s on? Perfection.<br></p>",outrun,Apparel & Accessories > Jewelry > Bracelets,bracelet,bracelet,true,Color,gold,product.metafields.shopify.color-pattern,Make it a stack?,1,,,,,BB - 1,0.0,shopify,2,continue,manual,999.00,1399.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/Apr_22_2025_02_14_34_AM.jpg?v=1746044142,1,"",false,,,,,adult,,,,,,,,,,adults,beaded,gold; silver,,bamboo; gold,imitation-jewelry,,,,unisex,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/Apr_22_2025_02_14_34_AM.jpg?v=1746044142,kg,,,true,,,true,,,active
bamboo-bangle,,,,,,,,,gold,,,2,,,,,BB - 2,0.0,shopify,3,continue,manual,1399.00,1998.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5130.png?v=1754350084,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
bamboo-bangle,,,,,,,,,gold,,,3,,,,,BB - 3,0.0,shopify,2,continue,manual,1999.00,2997.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/silver_bamboo_bangle.jpg?v=1754350084,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
bamboo-bangle,,,,,,,,,gold,,,4,,,,,BB - 4,0.0,shopify,2,continue,manual,2499.00,3996.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-05_at_2.24.24_PM_2.jpg?v=1754350065,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
bamboo-bangle,,,,,,,,,silver,,,1,,,,,,0.0,shopify,1,continue,manual,999.00,1399.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsApp_Image_2024-09-27_at_10.02.27_PM_2.jpg?v=1754350065,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/silver_bamboo_bangle.jpg?v=1754350084,kg,,,,,,,,,
bamboo-bangle,,,,,,,,,silver,,,2,,,,,,0.0,shopify,0,continue,manual,999.00,1399.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2024-09-10-01h21m32s929.png?v=1754350065,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
